model,accuracy
baseline,0.32126
mae-ct,0.2058
reduced-100,0.33446
reduced-200,0.33982
reduced-300,0.3507
reduced-400,0.35762
reduced-500,0.37452
reduced-600,0.3729
reduced-700,0.39166
reduced-800,0.38188
reduced-900,0.34948
