model,l_accuracy,z_accuracy,p_accuracy
baseline,0.4467,0.39388,0.32104
mae-ct,0.38148,0.2986,0.20582
reduced-100,0.45034,0.40774,0.33582
reduced-200,0.45178,0.4101,0.34012
reduced-300,0.45524,0.42052,0.35094
reduced-400,0.457,0.42838,0.35824
reduced-500,0.47212,0.4499,0.37584
reduced-600,0.47168,0.4488,0.37354
reduced-700,0.48686,0.47042,0.39248
reduced-800,0.49404,0.464,0.38376
reduced-900,0.49722,0.44762,0.3499
